Analyse enrichment

MAL ID: 2001 | AniList ID: (hidden) | Enrichment: Success | Relations: 7
MAL ID: 174 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 182 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 51 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 200 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 16870 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 2236 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 916 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 523 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 415 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 6 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 10162 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 842 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 180 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 181 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 201 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 7 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 202 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1023 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 203 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 1562 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 204 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 392 | AniList ID: (hidden) | Enrichment: Success | Relations: 7
MAL ID: 269 | AniList ID: (hidden) | Enrichment: Success | Relations: 10
MAL ID: 790 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 15 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 5341 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 1699 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 2993 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 2605 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 22 | AniList ID: (hidden) | Enrichment: Success | Relations: 11
